title1,title2,sourcename1,sourcename2,word_count1,word_count2,annotation_label,L1_distance,Cosine_Similarity,similarity_score,L1_distance_norm,Cosine_Similarity_norm,similarity_score_norm,Average_Score
optimal incentives under gift exchange,economic development in historical perspective,econlit,jstor,5.0,5,0,22,0.8961242176322106,0.6281438,0.175,0.9473273695718701,1.0,0.7074424565239568
optimal growth under uncertainty,individual preferences and distributional adjustments,elsevier,jstor,4.0,5,0,31,0.8231079972079913,0.5368302,0.2875,0.8701391152321748,0.8891112,0.682250112022938
teoretyczne aspekty kosztowo-strukturalnych przyczyn inflacji,the socialist party,semantic_scholar,jstor,5.0,3,0,42,0.796261661787527,0.3206318,0.425,0.8417588217236351,0.6265657,0.6311081721775317
alternative finance and sustainable development,nchs dataline,semantic_scholar,jstor,5.0,2,0,36,0.877463095775077,0.29761872,0.35,0.9275999800712394,0.5986192,0.6254064009040768
signaling and strategically delayed promotion,simulation approaches to locational conflicts,semantic_scholar,jstor,5.0,5,0,24,0.8381372725310183,0.45397127,0.2,0.8860271401043897,0.7884896,0.6248389067529362
advertising bans,rehabilitation of partial equilibrium theory,scopus,jstor,2.0,5,0,40,0.6658090475231717,0.43283546,0.4,0.7038523468251451,0.7628228,0.6222250512201065
bonfire of the andes,factor-price uncertainty with variable proportions,semantic_scholar,jstor,4.0,5,0,34,0.7254762501100117,0.4400329,0.325,0.7669288410924855,0.7715632,0.6211640044776262
financial intermediation and the economy,the confirmation clog,repec,jstor,5.0,3,0,21,0.8630946833531257,0.45028147,0.1625,0.9124105787842435,0.78400874,0.6196397733876758
external economic relationships,stamp returns and economic factors,semantic_scholar,jstor,3.0,5,0,19,0.8427009716003844,0.48779315,0.1375,0.8908516018808199,0.82956195,0.6193045168856883
macroeconomics income and monetary theory,the irrigation demand for electricity,semantic_scholar,jstor,5.0,5,0,24,0.8021345901953495,0.46871153,0.2,0.8479673201781985,0.80638975,0.618119023076113
on capitalization of land resource,jumpstarting development,semantic_scholar,jstor,5.0,2,0,26,0.6756639246921762,0.55214846,0.225,0.7142703164350218,0.9077133,0.6156612034880858
