	title
475169	ANDRX
344669	Army to boost SHORAD presence in European theater
410122	PFIZER
742261	Update: Influenza Activity — United States, 1992-93 Season
322151	AM General Executive Promises 'Strong' Long-Term Outlook For Business
317675	What Programme for Government?
404325	Obama Seeks Extra Funds For Puerto Rico Medicaid, Zika Virus
289779	Series of CDDs to emerge
367913	SOCOM official eyes OTA to speed information-sharing changes
403698	CMS
851789	Avoidable Tragedy
344003	On the Move
735683	EDITORIAL / EDITORS' NOTE
907247	Letters from Readers
475674	SOME REPUBLICANS RETREAT FROM WHITE HOUSE ON ENVIRONMENTAL ISSUES
333383	USAF Readies Major Package Of F-22A Upgrades For Key Decision Point
62868	The Optimum Lifetime Distribution of Consumption Expenditures: Reply
372238	DOD Discards Plan To Further Increase Size Of EC-130H Fleet In FY-14
432649	New Climate Health Report Bolsters Calls For GHG Cuts, Climate Adaptation
369655	Panel Urges DOD To Name Lead Agency For SATCOM Procurement
451623	Congress pushes DOD to expand use of ‘other transaction’ agreements
533653	Political and Security Questions
520213	A Hausman Test Based on the Difference between Fixed Effects Two-Stage Least Squares and Error Components Two-Stage Least Squares
431757	Northrop Grumman radar may support BMD warning system
503877	Fixed Effects Estimation of the Population-Averaged Slopes in a Panel Data Random Coefficient Model
382630	White House not planning for stand-alone OCO supplemental
25029	Jerusalem
1077642	White House OMB sends out FY-19 defense R&D wish list
440468	Senate Bipartisan Staff Group Meets With FDA, NIH On Innovation Plan
300447	North Korean Nuclear And Cyber Threats Drive OPCON Transfer Delay
260115	New Details Emerge On Pentagon's New Planning And Budgeting 'Reset'
415787	ENVIRONMENTALISTS URGE EPA TO DROP SEDIMENT QUALITY GUIDELINES
1075793	CASAC FLOATS NEW PLAN FOR EPA CHANGES TO NAAQS REVIEW PROCESS
458464	Senate committee would shake up Pentagon pecking order -- again
738049	Labor Turnover in the Soviet Union
334726	EGYPT TO RECEIVE AVENGER LOW-LEVEL AIR DEFENSE SYSTEM
1019179	The Navy's Armament
437473	Stakeholders Hope Biosimilar Talks Could Forge State-Level Consensus
443574	USGS STUDY MAY AID EPA BID TO SET NUMERIC NUTRIENT LIMITS FOR MISS. RIVER
231122	ARMY'S TENCAP OFFICE BEGINS FIELDING TACTICAL EXPLOITATION SYSTEM
306421	New National Military Strategy Puts Spotlight On Defense Acquisition
549212	The Role of Random Assignment in Social Policy Research
1003986	Foreign Law in American Courts
438268	EPA PROPOSES TO DROP PLAN TO REGULATE UTILITY MERCURY AS AIR TOXIC
219585	JFCOM focusing on maritime domain awareness
128776	THE WORST OF THE WORST
364438	McKeon Backs Joint Strike Fighter STOVL Version, Second Engine
404431	Pew Launches Specialty Rx Initiative; Congress Sidesteps Rx Spending
756296	Current Labor Statistics
488852	Reviewers Raise Concerns With EPA Model For Crafting Perchlorate MCLG
746235	Smallpox Surveillance
474869	EPA Uses New Model To Craft Clean Water Act Aquatic Criteria For Copper
828660	SMDC pushes two-year proposal: TILELLI SUPPORTS SMDC'S TECHNICAL DEMONSTRATION OF 'SWORD' PROGRAM
803479	Democratic Rights Organisations and 'Naxalites'
257075	Intermediate-range drill planned
489929	Vital Signs
744491	PERSONAL FREEDOM IN A PLANNED SOCIETY
474092	ORIGINAL ENGLISH TRANSLATION OF THE 2015 GADI EISENKOT IDF STRATEGY
306538	Thornberry outlines maneuver to shift $18B in OCO to DOD base budget
100984	Book Notes
485726	Advisors Urge Fixes To EPA Drinking Water Advisories After Public Concerns
677673	Measuring Soviet Economic Growth: Old Problems and New Complications: Comment
352915	Army Seeks OK From DOD To Proceed With 3rd Gray Eagle Production Run
216062	Air Force Eyes Digital Design Processes To Manufacture LRSO, Reduce Costs
814127	Companies: Making Power Pay
435134	INDUSTRY REP
546302	Badly Weighted Least Squares
283853	Design and development phase concludes
708311	Q&A
445760	WAXMAN DEFEATS DINGELL IN FIGHT FOR ENERGY AND COMMERCE GAVEL
56571	Back Matter
410175	The Arab Spring
248925	DOD Seeks New Strategies To Defend Against Advanced Missiles
483999	EPA Weighing State Programs, Federal Advice In Years-Long IST Review
623022	Black Woman
401880	Productivity and Inflation
355197	Acceptance one month late
207544	Update: Influenza Activity — United States
259482	Errata: Vol. 35, No. 32
316565	Carter upgrades fledgling Silicon Valley outreach team
474985	Environmentalists Criticize EPA For Dropping Novel Secondary PM NAAQS
282889	ACC developing strategic roadmap
1002449	Air Force Engaged In Second Operational Assessment Of General Ledger
448246	Environmental Groups Oppose EPA Draft Radiological Events Water Guide
424124	Biosimilar Company
433523	TO SPEED RULEMAKING, EPA EYES SHORTER NANOTECH REPORTING PROGRAM
572654	Testing for Random Individual Effects with a Gauss-Newton Regression
265541	IPS replacement sought
806885	Companies: A Piece of the Automobile Boom
1038468	Pentagon staff sizes remain under fire as CBO sees potential savings
329120	BMDS Price Tag Increases By 
132 Billion
403326	EPA, DHS DEVELOPING AVIAN FLU PREPAREDNESS GUIDE FOR WATER AGENCIES
128062	ERRATA
535845	Economic and Social Council
421708	SLUDGE TESTS MAY STALL EPA METHODS TO MEASURE PERCHLORATE IN WASTE
922788	TPI Membership
255672	PROGRAM OFFICE FOR AIR, MISSILE DEFENSE REORGANIZES TO INCLUDE 'SPACE'
638194	Corrigendum: Notes of the Month
975809	Heart Disease Management by Women: Does Intervention Format Matter?
477039	MedPAC
257542	CEC ENTERS MILESTONE III; MILESTONE B REVIEW EXPECTED IN APRIL 2003
31347	The Operation of Nullity Decrees
230543	AIRBORNE LASER CONTRACTOR ZEROING IN ON WAYS TO CUT COSTS
907792	NOTIFIABLE DISEASES OF LOW FREQUENCY
438707	BIPARTISAN LAWMAKERS PRESS EPA TO RELEASE DIOXIN RISK ASSESSMENT
307694	Interagency review ongoing
222098	In the system's 14th test ...
401870	DOD flies experimental hypersonic payload; claims success
800132	Federal science and technology in brief
374467	Army intends to install GBSAA system at second site this month
407058	INHOFE SEEKS EPA VOW ON PEER REVIEW OF STRICT ARSENIC RISK STUDY
126424	PERSONNEL JOURNAL
268864	NEWS
