Title 1,Title 2,Similarity Score
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,45.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,54.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,saving lives with pre-arranged disaster aid: evidence from mexico,80.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,conditional cash transfers and child labor,89.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,do households gain from community-based natural resource management? an evaluation of community conservancies in namibia,51.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,access to imported intermediates and intra-firm wage inequality,70.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,the effect of early-childhood education on social preferences,74.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,an experimental study on the effects of democracy on tax compliance,72.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,dividend payouts and rollover crises,101.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,private sector credit and inflation volatility,87.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,51.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,the long or short of it: determinants of foreign currency exposure in external balance sheets,54.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,the effect of removing geographic restrictions on banking in the united states: lessons for europe,55.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,zimbabwe's export performance: the impact of the parallel market and governance factors,60.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,some reflections on the anarcho-capitalism of futerman and block,71.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,under-reaction to political information and price momentum,71.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,72.0
neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,bayesian and classical approaches to instrumental variable regression,78.0
