Title 1,Title 2,Similarity Score,annotation_label,word_count_Title1,word_count_Title2
motivational interviewing retention counseling and adherence to early infant diagnostic hiv testing schedule in south africa: the paedlink randomized trial,the effect of conditional transfers on school performance and child labor: evidence from an ex-post impact evaluation in costa rica,60.0,0,20,20
motivational interviewing retention counseling and adherence to early infant diagnostic hiv testing schedule in south africa: the paedlink randomized trial,the gender and generational consequences of the demographic transition and population policy: an assessment of the micro and macro linkages,42.0,0,20,20
motivational interviewing retention counseling and adherence to early infant diagnostic hiv testing schedule in south africa: the paedlink randomized trial,which firms benefit from strengthening contract enforcement? foreignness as an asset at exit in emerging economies private equity,60.0,0,20,18
motivational interviewing retention counseling and adherence to early infant diagnostic hiv testing schedule in south africa: the paedlink randomized trial,thinking beyond collateral in value chain lending: access to bank credit for smallholder vietnamese bamboo and cinnamon farmers,50.0,0,20,18
motivational interviewing retention counseling and adherence to early infant diagnostic hiv testing schedule in south africa: the paedlink randomized trial,an empirical retrospect of the impacts of government expenditures on economic growth: new evidence from the nigerian economy,67.0,0,20,18
motivational interviewing retention counseling and adherence to early infant diagnostic hiv testing schedule in south africa: the paedlink randomized trial,key differences between methods of measuring foreign direct investor involvement in service industries – case study of poland,59.0,0,20,18
does performance related pay for teachers improve student performance? some evidence from india,the effect of essential medicines programme on rational use of medicines in china,34.0,0,13,13
does performance related pay for teachers improve student performance? some evidence from india,spousal control and intra-household decision making: an experimental study in the philippines,56.0,0,13,12
does performance related pay for teachers improve student performance? some evidence from india,the impact of high-speed rail on housing prices: evidence from china's prefecture-level cities,43.0,0,13,13
does performance related pay for teachers improve student performance? some evidence from india,impact of family planning health education on the knowledge and attitude among yasoujian women,61.0,0,13,14
does performance related pay for teachers improve student performance? some evidence from india,analysis of the environmental effects of the clean heating policy in northern china,48.0,0,13,13
does performance related pay for teachers improve student performance? some evidence from india,do political connections affect bank leverage? evidence from some middle eastern and north african countries,35.0,0,13,15
does performance related pay for teachers improve student performance? some evidence from india,the transformation from traditional nonprofit organizations to social enterprises: an institutional entrepreneurship perspective,67.0,0,13,13
does performance related pay for teachers improve student performance? some evidence from india,is per capita real gdp stationary in five southeastern european countries? fourier unit root test,40.0,0,13,15
does performance related pay for teachers improve student performance? some evidence from india,concentrate or diversify? the relationship between tenant concentration and reit performance,39.0,0,13,11
